"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",6031,0,0
"[40,45)",1,"AFIB",7159,0,0
"[45,50)",0,"AFIB",11440,33,0.00288461538461538
"[45,50)",1,"AFIB",14635,0,0
"[50,55)",0,"AFIB",12800,57,0.004453125
"[50,55)",1,"AFIB",17563,27,0.0015373227808461
"[55,60)",0,"AFIB",15449,108,0.00699074373745874
"[55,60)",1,"AFIB",20464,42,0.00205238467552776
"[60,65)",0,"AFIB",21827,295,0.0135153708709397
"[60,65)",1,"AFIB",27399,127,0.00463520566444031
"[65,70)",0,"AFIB",20991,429,0.0204373302844076
"[65,70)",1,"AFIB",22599,196,0.00867295013053675
"[70,75)",0,"AFIB",5525,163,0.0295022624434389
"[70,75)",1,"AFIB",5684,49,0.00862068965517241
"[40,45)",0,"Anemia",6031,37,0.00613496932515337
"[40,45)",1,"Anemia",7159,203,0.0283559156306747
"[45,50)",0,"Anemia",11440,72,0.00629370629370629
"[45,50)",1,"Anemia",14635,429,0.0293132900580799
"[50,55)",0,"Anemia",12800,140,0.0109375
"[50,55)",1,"Anemia",17563,468,0.0266469282013323
"[55,60)",0,"Anemia",15449,196,0.012686905301314
"[55,60)",1,"Anemia",20464,339,0.0165656763096169
"[60,65)",0,"Anemia",21827,345,0.0158061116965227
"[60,65)",1,"Anemia",27399,412,0.0150370451476331
"[65,70)",0,"Anemia",20991,448,0.0213424801105236
"[65,70)",1,"Anemia",22599,446,0.0197353865215275
"[70,75)",0,"Anemia",5525,131,0.023710407239819
"[70,75)",1,"Anemia",5684,124,0.0218156228008445
"[40,45)",0,"Anxiety",6031,39,0.00646658928867518
"[40,45)",1,"Anxiety",7159,86,0.0120128509568375
"[45,50)",0,"Anxiety",11440,78,0.00681818181818182
"[45,50)",1,"Anxiety",14635,159,0.0108643662453024
"[50,55)",0,"Anxiety",12800,99,0.007734375
"[50,55)",1,"Anxiety",17563,195,0.0111028867505551
"[55,60)",0,"Anxiety",15449,92,0.00595507799857596
"[55,60)",1,"Anxiety",20464,186,0.00908913213448006
"[60,65)",0,"Anxiety",21827,136,0.00623081504558574
"[60,65)",1,"Anxiety",27399,239,0.0087229460929231
"[65,70)",0,"Anxiety",20991,86,0.004096993949788
"[65,70)",1,"Anxiety",22599,173,0.0076552059825656
"[70,75)",0,"Anxiety",5525,23,0.00416289592760181
"[70,75)",1,"Anxiety",5684,54,0.00950035186488388
"[40,45)",0,"Arthritis",6031,89,0.0147570883767203
"[40,45)",1,"Arthritis",7159,71,0.00991758625506356
"[45,50)",0,"Arthritis",11440,222,0.0194055944055944
"[45,50)",1,"Arthritis",14635,188,0.0128459173214896
"[50,55)",0,"Arthritis",12800,349,0.027265625
"[50,55)",1,"Arthritis",17563,432,0.0245971644935375
"[55,60)",0,"Arthritis",15449,595,0.0385138196647032
"[55,60)",1,"Arthritis",20464,816,0.0398749022673964
"[60,65)",0,"Arthritis",21827,1037,0.0475099647225913
"[60,65)",1,"Arthritis",27399,1483,0.0541260629949998
"[65,70)",0,"Arthritis",20991,1363,0.0649325901576866
"[65,70)",1,"Arthritis",22599,1503,0.0665073675826364
"[70,75)",0,"Arthritis",5525,372,0.0673303167420815
"[70,75)",1,"Arthritis",5684,410,0.0721323011963406
"[40,45)",0,"CAD",6031,0,0
"[40,45)",1,"CAD",7159,0,0
"[45,50)",0,"CAD",11440,46,0.00402097902097902
"[45,50)",1,"CAD",14635,25,0.0017082336863683
"[50,55)",0,"CAD",12800,124,0.0096875
"[50,55)",1,"CAD",17563,55,0.00313158344246427
"[55,60)",0,"CAD",15449,207,0.0133989254967959
"[55,60)",1,"CAD",20464,104,0.00508209538702111
"[60,65)",0,"CAD",21827,513,0.0235030008704815
"[60,65)",1,"CAD",27399,242,0.0088324391401146
"[65,70)",0,"CAD",20991,781,0.037206421799819
"[65,70)",1,"CAD",22599,337,0.0149121642550555
"[70,75)",0,"CAD",5525,223,0.0403619909502262
"[70,75)",1,"CAD",5684,122,0.0214637579169599
"[40,45)",0,"CVA",6031,0,0
"[40,45)",1,"CVA",7159,0,0
"[45,50)",0,"CVA",11440,0,0
"[45,50)",1,"CVA",14635,0,0
"[50,55)",0,"CVA",12800,28,0.0021875
"[50,55)",1,"CVA",17563,22,0.00125263337698571
"[55,60)",0,"CVA",15449,49,0.0031717263253285
"[55,60)",1,"CVA",20464,44,0.00215011727912432
"[60,65)",0,"CVA",21827,98,0.00448985201814267
"[60,65)",1,"CVA",27399,81,0.00295631227417059
"[65,70)",0,"CVA",20991,141,0.00671716449907103
"[65,70)",1,"CVA",22599,91,0.00402672684632063
"[70,75)",0,"CVA",5525,62,0.0112217194570136
"[70,75)",1,"CVA",5684,47,0.00826882477128783
"[40,45)",0,"Cancer",6031,61,0.010114408887415
"[40,45)",1,"Cancer",7159,69,0.00963821762816036
"[45,50)",0,"Cancer",11440,110,0.00961538461538462
"[45,50)",1,"Cancer",14635,202,0.0138025281858558
"[50,55)",0,"Cancer",12800,238,0.01859375
"[50,55)",1,"Cancer",17563,327,0.0186186870124694
"[55,60)",0,"Cancer",15449,374,0.0242086866463849
"[55,60)",1,"Cancer",20464,453,0.0221364347146208
"[60,65)",0,"Cancer",21827,873,0.0399963348146791
"[60,65)",1,"Cancer",27399,843,0.0307675462608124
"[65,70)",0,"Cancer",20991,1248,0.0594540517364585
"[65,70)",1,"Cancer",22599,892,0.039470773043055
"[70,75)",0,"Cancer",5525,408,0.0738461538461539
"[70,75)",1,"Cancer",5684,234,0.0411681914144968
"[40,45)",0,"Chronpain",6031,244,0.0404576355496601
"[40,45)",1,"Chronpain",7159,307,0.042883084229641
"[45,50)",0,"Chronpain",11440,431,0.0376748251748252
"[45,50)",1,"Chronpain",14635,612,0.0418175606422959
"[50,55)",0,"Chronpain",12800,456,0.035625
"[50,55)",1,"Chronpain",17563,740,0.0421340317713375
"[55,60)",0,"Chronpain",15449,519,0.03359440740501
"[55,60)",1,"Chronpain",20464,864,0.0422204847537138
"[60,65)",0,"Chronpain",21827,778,0.0356439272460714
"[60,65)",1,"Chronpain",27399,1203,0.0439067119237928
"[65,70)",0,"Chronpain",20991,733,0.0349197275022629
"[65,70)",1,"Chronpain",22599,972,0.043010752688172
"[70,75)",0,"Chronpain",5525,178,0.0322171945701357
"[70,75)",1,"Chronpain",5684,259,0.0455665024630542
"[40,45)",0,"Dementia",6031,0,0
"[40,45)",1,"Dementia",7159,0,0
"[45,50)",0,"Dementia",11440,26,0.00227272727272727
"[45,50)",1,"Dementia",14635,0,0
"[50,55)",0,"Dementia",12800,31,0.002421875
"[50,55)",1,"Dementia",17563,31,0.00176507430393441
"[55,60)",0,"Dementia",15449,45,0.00291280989060781
"[55,60)",1,"Dementia",20464,30,0.0014659890539484
"[60,65)",0,"Dementia",21827,59,0.00270307417418793
"[60,65)",1,"Dementia",27399,56,0.0020438702142414
"[65,70)",0,"Dementia",20991,76,0.00362059930446382
"[65,70)",1,"Dementia",22599,43,0.00190273905925041
"[70,75)",0,"Dementia",5525,27,0.0048868778280543
"[70,75)",1,"Dementia",5684,0,0
"[40,45)",0,"Depress",6031,194,0.032167136461615
"[40,45)",1,"Depress",7159,423,0.0590864645900265
"[45,50)",0,"Depress",11440,353,0.0308566433566434
"[45,50)",1,"Depress",14635,783,0.053501879057055
"[50,55)",0,"Depress",12800,411,0.032109375
"[50,55)",1,"Depress",17563,870,0.0495359562717076
"[55,60)",0,"Depress",15449,465,0.0300990355362807
"[55,60)",1,"Depress",20464,887,0.0433444096950743
"[60,65)",0,"Depress",21827,552,0.0252897787144362
"[60,65)",1,"Depress",27399,952,0.0347457936421037
"[65,70)",0,"Depress",20991,412,0.0196274593873565
"[65,70)",1,"Depress",22599,608,0.0269038453028895
"[70,75)",0,"Depress",5525,90,0.016289592760181
"[70,75)",1,"Depress",5684,158,0.0277973258268825
"[40,45)",0,"Diabetes",6031,62,0.0102802188691759
"[40,45)",1,"Diabetes",7159,57,0.00796200586674116
"[45,50)",0,"Diabetes",11440,189,0.016520979020979
"[45,50)",1,"Diabetes",14635,109,0.00744789887256577
"[50,55)",0,"Diabetes",12800,296,0.023125
"[50,55)",1,"Diabetes",17563,196,0.0111598246313272
"[55,60)",0,"Diabetes",15449,456,0.0295164735581591
"[55,60)",1,"Diabetes",20464,309,0.0150996872556685
"[60,65)",0,"Diabetes",21827,871,0.0399047051816557
"[60,65)",1,"Diabetes",27399,527,0.0192342786233074
"[65,70)",0,"Diabetes",20991,966,0.0460197227383164
"[65,70)",1,"Diabetes",22599,557,0.0246471082791274
"[70,75)",0,"Diabetes",5525,290,0.0524886877828054
"[70,75)",1,"Diabetes",5684,162,0.0285010555946517
"[40,45)",0,"DuraMed",6031,0,0
"[40,45)",1,"DuraMed",7159,0,0
"[45,50)",0,"DuraMed",11440,0,0
"[45,50)",1,"DuraMed",14635,0,0
"[50,55)",0,"DuraMed",12800,0,0
"[50,55)",1,"DuraMed",17563,0,0
"[55,60)",0,"DuraMed",15449,0,0
"[55,60)",1,"DuraMed",20464,0,0
"[60,65)",0,"DuraMed",21827,0,0
"[60,65)",1,"DuraMed",27399,0,0
"[65,70)",0,"DuraMed",20991,0,0
"[65,70)",1,"DuraMed",22599,0,0
"[70,75)",0,"DuraMed",5525,0,0
"[70,75)",1,"DuraMed",5684,0,0
"[40,45)",0,"Falls",6031,42,0.00696401923395788
"[40,45)",1,"Falls",7159,69,0.00963821762816036
"[45,50)",0,"Falls",11440,112,0.00979020979020979
"[45,50)",1,"Falls",14635,150,0.0102494021182098
"[50,55)",0,"Falls",12800,113,0.008828125
"[50,55)",1,"Falls",17563,238,0.0135512156237545
"[55,60)",0,"Falls",15449,146,0.00945044986730533
"[55,60)",1,"Falls",20464,363,0.0177384675527756
"[60,65)",0,"Falls",21827,263,0.0120492967425665
"[60,65)",1,"Falls",27399,542,0.0197817438592649
"[65,70)",0,"Falls",20991,284,0.0135296079272069
"[65,70)",1,"Falls",22599,556,0.0246028585335634
"[70,75)",0,"Falls",5525,95,0.0171945701357466
"[70,75)",1,"Falls",5684,161,0.0283251231527094
"[40,45)",0,"Fatigue",6031,72,0.0119383186867849
"[40,45)",1,"Fatigue",7159,175,0.0244447548540299
"[45,50)",0,"Fatigue",11440,124,0.0108391608391608
"[45,50)",1,"Fatigue",14635,337,0.0230269900922446
"[50,55)",0,"Fatigue",12800,151,0.011796875
"[50,55)",1,"Fatigue",17563,395,0.0224904629049707
"[55,60)",0,"Fatigue",15449,189,0.0122338015405528
"[55,60)",1,"Fatigue",20464,446,0.0217943706020328
"[60,65)",0,"Fatigue",21827,308,0.0141109634855912
"[60,65)",1,"Fatigue",27399,542,0.0197817438592649
"[65,70)",0,"Fatigue",20991,315,0.0150064313277119
"[65,70)",1,"Fatigue",22599,472,0.0208858799061905
"[70,75)",0,"Fatigue",5525,74,0.013393665158371
"[70,75)",1,"Fatigue",5684,119,0.020935960591133
"[40,45)",0,"FtoThrive",6031,0,0
"[40,45)",1,"FtoThrive",7159,0,0
"[45,50)",0,"FtoThrive",11440,0,0
"[45,50)",1,"FtoThrive",14635,0,0
"[50,55)",0,"FtoThrive",12800,0,0
"[50,55)",1,"FtoThrive",17563,0,0
"[55,60)",0,"FtoThrive",15449,0,0
"[55,60)",1,"FtoThrive",20464,0,0
"[60,65)",0,"FtoThrive",21827,0,0
"[60,65)",1,"FtoThrive",27399,0,0
"[65,70)",0,"FtoThrive",20991,0,0
"[65,70)",1,"FtoThrive",22599,0,0
"[70,75)",0,"FtoThrive",5525,0,0
"[70,75)",1,"FtoThrive",5684,0,0
"[40,45)",0,"GaitAb",6031,0,0
"[40,45)",1,"GaitAb",7159,0,0
"[45,50)",0,"GaitAb",11440,0,0
"[45,50)",1,"GaitAb",14635,0,0
"[50,55)",0,"GaitAb",12800,0,0
"[50,55)",1,"GaitAb",17563,0,0
"[55,60)",0,"GaitAb",15449,22,0.00142404039096382
"[55,60)",1,"GaitAb",20464,21,0.00102619233776388
"[60,65)",0,"GaitAb",21827,28,0.00128281486232648
"[60,65)",1,"GaitAb",27399,0,0
"[65,70)",0,"GaitAb",20991,36,0.00171502072316707
"[65,70)",1,"GaitAb",22599,32,0.00141599185804682
"[70,75)",0,"GaitAb",5525,0,0
"[70,75)",1,"GaitAb",5684,0,0
"[40,45)",0,"HF",6031,0,0
"[40,45)",1,"HF",7159,0,0
"[45,50)",0,"HF",11440,0,0
"[45,50)",1,"HF",14635,0,0
"[50,55)",0,"HF",12800,0,0
"[50,55)",1,"HF",17563,0,0
"[55,60)",0,"HF",15449,39,0.00252443523852677
"[55,60)",1,"HF",20464,0,0
"[60,65)",0,"HF",21827,87,0.00398588903651441
"[60,65)",1,"HF",27399,25,0.000912442059929194
"[65,70)",0,"HF",20991,101,0.00481158591777428
"[65,70)",1,"HF",22599,34,0.00150449134917474
"[70,75)",0,"HF",5525,39,0.00705882352941176
"[70,75)",1,"HF",5684,22,0.00387051372273047
"[40,45)",0,"HTN",6031,120,0.0198971978113082
"[40,45)",1,"HTN",7159,81,0.0113144293895796
"[45,50)",0,"HTN",11440,340,0.0297202797202797
"[45,50)",1,"HTN",14635,295,0.0201571574991459
"[50,55)",0,"HTN",12800,561,0.043828125
"[50,55)",1,"HTN",17563,574,0.0326823435631726
"[55,60)",0,"HTN",15449,986,0.0638229011586511
"[55,60)",1,"HTN",20464,899,0.0439308053166536
"[60,65)",0,"HTN",21827,1887,0.0864525587575022
"[60,65)",1,"HTN",27399,1791,0.0653673491733275
"[65,70)",0,"HTN",20991,2419,0.115239864703921
"[65,70)",1,"HTN",22599,2036,0.0900924819682287
"[70,75)",0,"HTN",5525,659,0.119276018099548
"[70,75)",1,"HTN",5684,552,0.0971147079521464
"[40,45)",0,"Hearing",6031,68,0.0112750787597413
"[40,45)",1,"Hearing",7159,77,0.0107556921357732
"[45,50)",0,"Hearing",11440,140,0.0122377622377622
"[45,50)",1,"Hearing",14635,155,0.0105910488554834
"[50,55)",0,"Hearing",12800,215,0.016796875
"[50,55)",1,"Hearing",17563,182,0.0103626943005181
"[55,60)",0,"Hearing",15449,278,0.0179946922130882
"[55,60)",1,"Hearing",20464,346,0.0169077404222048
"[60,65)",0,"Hearing",21827,612,0.0280386677051358
"[60,65)",1,"Hearing",27399,569,0.0207671812839885
"[65,70)",0,"Hearing",20991,758,0.0361107141155733
"[65,70)",1,"Hearing",22599,558,0.0246913580246914
"[70,75)",0,"Hearing",5525,230,0.0416289592760181
"[70,75)",1,"Hearing",5684,164,0.0288529204785362
"[40,45)",0,"Incont",6031,0,0
"[40,45)",1,"Incont",7159,104,0.0145271685989663
"[45,50)",0,"Incont",11440,22,0.00192307692307692
"[45,50)",1,"Incont",14635,232,0.0158524086094978
"[50,55)",0,"Incont",12800,26,0.00203125
"[50,55)",1,"Incont",17563,331,0.0188464385355577
"[55,60)",0,"Incont",15449,41,0.00265389345588711
"[55,60)",1,"Incont",20464,387,0.0189112587959343
"[60,65)",0,"Incont",21827,68,0.00311540752279287
"[60,65)",1,"Incont",27399,528,0.0192707763057046
"[65,70)",0,"Incont",20991,133,0.00633604878281168
"[65,70)",1,"Incont",22599,490,0.0216823753263419
"[70,75)",0,"Incont",5525,45,0.0081447963800905
"[70,75)",1,"Incont",5684,136,0.023926812104152
"[40,45)",0,"Kidney",6031,46,0.00762725916100149
"[40,45)",1,"Kidney",7159,34,0.00474926665735438
"[45,50)",0,"Kidney",11440,114,0.00996503496503496
"[45,50)",1,"Kidney",14635,115,0.00785787495729416
"[50,55)",0,"Kidney",12800,170,0.01328125
"[50,55)",1,"Kidney",17563,250,0.0142344701930194
"[55,60)",0,"Kidney",15449,323,0.020907502103696
"[55,60)",1,"Kidney",20464,405,0.0197908522283034
"[60,65)",0,"Kidney",21827,663,0.0303752233472305
"[60,65)",1,"Kidney",27399,941,0.0343443191357349
"[65,70)",0,"Kidney",20991,1097,0.0522604925920633
"[65,70)",1,"Kidney",22599,1208,0.0534536926412673
"[70,75)",0,"Kidney",5525,422,0.0763800904977376
"[70,75)",1,"Kidney",5684,400,0.0703729767769177
"[40,45)",0,"Liver",6031,0,0
"[40,45)",1,"Liver",7159,0,0
"[45,50)",0,"Liver",11440,21,0.00183566433566434
"[45,50)",1,"Liver",14635,0,0
"[50,55)",0,"Liver",12800,28,0.0021875
"[50,55)",1,"Liver",17563,25,0.00142344701930194
"[55,60)",0,"Liver",15449,43,0.00278335167324746
"[55,60)",1,"Liver",20464,32,0.00156372165754496
"[60,65)",0,"Liver",21827,47,0.00215329637604801
"[60,65)",1,"Liver",27399,50,0.00182488411985839
"[65,70)",0,"Liver",20991,58,0.00276308894288028
"[65,70)",1,"Liver",22599,48,0.00212398778707022
"[70,75)",0,"Liver",5525,0,0
"[70,75)",1,"Liver",5684,0,0
"[40,45)",0,"Lung",6031,94,0.0155861382855248
"[40,45)",1,"Lung",7159,125,0.0174605391814499
"[45,50)",0,"Lung",11440,204,0.0178321678321678
"[45,50)",1,"Lung",14635,347,0.0237102835667919
"[50,55)",0,"Lung",12800,242,0.01890625
"[50,55)",1,"Lung",17563,409,0.0232875932357798
"[55,60)",0,"Lung",15449,347,0.0224610007120202
"[55,60)",1,"Lung",20464,552,0.0269741985926505
"[60,65)",0,"Lung",21827,598,0.0273972602739726
"[60,65)",1,"Lung",27399,803,0.0293076389649257
"[65,70)",0,"Lung",20991,782,0.0372540612643514
"[65,70)",1,"Lung",22599,795,0.0351785477233506
"[70,75)",0,"Lung",5525,236,0.0427149321266968
"[70,75)",1,"Lung",5684,220,0.0387051372273047
"[40,45)",0,"Muscular",6031,0,0
"[40,45)",1,"Muscular",7159,0,0
"[45,50)",0,"Muscular",11440,0,0
"[45,50)",1,"Muscular",14635,0,0
"[50,55)",0,"Muscular",12800,0,0
"[50,55)",1,"Muscular",17563,21,0.00119569549621363
"[55,60)",0,"Muscular",15449,30,0.0019418732604052
"[55,60)",1,"Muscular",20464,27,0.00131939014855356
"[60,65)",0,"Muscular",21827,24,0.00109955559627984
"[60,65)",1,"Muscular",27399,29,0.00105843278951787
"[65,70)",0,"Muscular",20991,34,0.00161974179410223
"[65,70)",1,"Muscular",22599,37,0.00163724058586663
"[70,75)",0,"Muscular",5525,0,0
"[70,75)",1,"Muscular",5684,0,0
"[40,45)",0,"Osteo",6031,0,0
"[40,45)",1,"Osteo",7159,0,0
"[45,50)",0,"Osteo",11440,24,0.0020979020979021
"[45,50)",1,"Osteo",14635,33,0.00225486846600615
"[50,55)",0,"Osteo",12800,25,0.001953125
"[50,55)",1,"Osteo",17563,75,0.00427034105790582
"[55,60)",0,"Osteo",15449,46,0.00297753899928798
"[55,60)",1,"Osteo",20464,193,0.00943119624706802
"[60,65)",0,"Osteo",21827,50,0.00229074082558299
"[60,65)",1,"Osteo",27399,385,0.0140516077229096
"[65,70)",0,"Osteo",20991,87,0.00414463341432042
"[65,70)",1,"Osteo",22599,452,0.0200008849949113
"[70,75)",0,"Osteo",5525,0,0
"[70,75)",1,"Osteo",5684,127,0.0223434201266714
"[40,45)",0,"PD",6031,0,0
"[40,45)",1,"PD",7159,0,0
"[45,50)",0,"PD",11440,0,0
"[45,50)",1,"PD",14635,0,0
"[50,55)",0,"PD",12800,0,0
"[50,55)",1,"PD",17563,0,0
"[55,60)",0,"PD",15449,25,0.00161822771700434
"[55,60)",1,"PD",20464,24,0.00117279124315872
"[60,65)",0,"PD",21827,59,0.00270307417418793
"[60,65)",1,"PD",27399,74,0.00270082849739042
"[65,70)",0,"PD",20991,85,0.00404935448525559
"[65,70)",1,"PD",22599,75,0.00331873091729723
"[70,75)",0,"PD",5525,28,0.00506787330316742
"[70,75)",1,"PD",5684,0,0
"[40,45)",0,"PVD",6031,36,0.00596915934339247
"[40,45)",1,"PVD",7159,68,0.00949853331470876
"[45,50)",0,"PVD",11440,109,0.00952797202797203
"[45,50)",1,"PVD",14635,152,0.0103860608131192
"[50,55)",0,"PVD",12800,144,0.01125
"[50,55)",1,"PVD",17563,186,0.0105904458236064
"[55,60)",0,"PVD",15449,214,0.0138520292575571
"[55,60)",1,"PVD",20464,275,0.013438232994527
"[60,65)",0,"PVD",21827,355,0.0162642598616393
"[60,65)",1,"PVD",27399,391,0.0142705938172926
"[65,70)",0,"PVD",20991,451,0.0214853985041208
"[65,70)",1,"PVD",22599,382,0.0169034028054339
"[70,75)",0,"PVD",5525,122,0.0220814479638009
"[70,75)",1,"PVD",5684,106,0.0186488388458832
"[40,45)",0,"PerNeuro",6031,0,0
"[40,45)",1,"PerNeuro",7159,0,0
"[45,50)",0,"PerNeuro",11440,0,0
"[45,50)",1,"PerNeuro",14635,0,0
"[50,55)",0,"PerNeuro",12800,0,0
"[50,55)",1,"PerNeuro",17563,0,0
"[55,60)",0,"PerNeuro",15449,0,0
"[55,60)",1,"PerNeuro",20464,0,0
"[60,65)",0,"PerNeuro",21827,29,0.00132862967883814
"[60,65)",1,"PerNeuro",27399,0,0
"[65,70)",0,"PerNeuro",20991,36,0.00171502072316707
"[65,70)",1,"PerNeuro",22599,0,0
"[70,75)",0,"PerNeuro",5525,0,0
"[70,75)",1,"PerNeuro",5684,0,0
"[40,45)",0,"Thyroid",6031,21,0.00348200961697894
"[40,45)",1,"Thyroid",7159,96,0.0134096940913535
"[45,50)",0,"Thyroid",11440,45,0.00393356643356643
"[45,50)",1,"Thyroid",14635,199,0.0135975401434916
"[50,55)",0,"Thyroid",12800,55,0.004296875
"[50,55)",1,"Thyroid",17563,313,0.0178215566816603
"[55,60)",0,"Thyroid",15449,70,0.00453103760761214
"[55,60)",1,"Thyroid",20464,413,0.0201817826426896
"[60,65)",0,"Thyroid",21827,131,0.00600174096302744
"[60,65)",1,"Thyroid",27399,648,0.0236504981933647
"[65,70)",0,"Thyroid",20991,180,0.00857510361583536
"[65,70)",1,"Thyroid",22599,559,0.0247356077702553
"[70,75)",0,"Thyroid",5525,38,0.00687782805429864
"[70,75)",1,"Thyroid",5684,156,0.0274454609429979
"[40,45)",0,"Vision",6031,23,0.00381362958050075
"[40,45)",1,"Vision",7159,36,0.00502863528425758
"[45,50)",0,"Vision",11440,74,0.00646853146853147
"[45,50)",1,"Vision",14635,91,0.00621797061838059
"[50,55)",0,"Vision",12800,108,0.0084375
"[50,55)",1,"Vision",17563,126,0.00717417297728179
"[55,60)",0,"Vision",15449,162,0.0104861156061881
"[55,60)",1,"Vision",20464,197,0.00962666145426114
"[60,65)",0,"Vision",21827,350,0.016035185779081
"[60,65)",1,"Vision",27399,382,0.0139421146757181
"[65,70)",0,"Vision",20991,471,0.0224381877947692
"[65,70)",1,"Vision",22599,518,0.0229213682021328
"[70,75)",0,"Vision",5525,163,0.0295022624434389
"[70,75)",1,"Vision",5684,152,0.0267417311752287
"[40,45)",0,"WgtLoss",6031,25,0.00414524954402255
"[40,45)",1,"WgtLoss",7159,24,0.00335242352283839
"[45,50)",0,"WgtLoss",11440,40,0.0034965034965035
"[45,50)",1,"WgtLoss",14635,42,0.00286983259309874
"[50,55)",0,"WgtLoss",12800,61,0.004765625
"[50,55)",1,"WgtLoss",17563,66,0.00375790013095713
"[55,60)",0,"WgtLoss",15449,62,0.00401320473817076
"[55,60)",1,"WgtLoss",20464,91,0.00444683346364347
"[60,65)",0,"WgtLoss",21827,118,0.00540614834837586
"[60,65)",1,"WgtLoss",27399,136,0.00496368480601482
"[65,70)",0,"WgtLoss",20991,145,0.00690772235720071
"[65,70)",1,"WgtLoss",22599,136,0.00601796539669897
"[70,75)",0,"WgtLoss",5525,37,0.00669683257918552
"[70,75)",1,"WgtLoss",5684,38,0.00668543279380718
